Value,Count,EVT_NAME,LFRDB,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_PHYS,EVT_GP,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,R,G,B,RED,GREEN,BLUE
-9999,13246.00000000000,Fill-NoData,-9999,-9999,Fill-NoData,Fill-NoData,Fill-NoData,-9999,Fill-NoData,Fill-NoData,Fill-NoData,Fill-NoData,Fill-NoData,255,255,255,1.00000000000,1.00000000000,1.00000000000
7008,159.00000000000,North Pacific Oak Woodland,7008,2008,Tr North Pacific Oak Woodland,Tree,Hardwood,629,Western Oak Woodland and Savanna,SAF 233: Oregon White Oak,Tree-dominated,Open tree canopy,Deciduous open tree canopy,203,255,171,0.79607800000,1.00000000000,0.67058800000
7010,183.00000000000,Northern Rocky Mountain Western Larch Savanna,7010,2010,Tr Northern Rocky Mountain Western Larch Savanna,Tree,Conifer,644,Western Larch Forest and Woodland,SAF 212: Western Larch,Tree-dominated,Open tree canopy,Deciduous open tree canopy,180,255,148,0.70588200000,1.00000000000,0.58039200000
7011,72.00000000000,Rocky Mountain Aspen Forest and Woodland,7011,2011,Tr Rocky Mountain Aspen Forest and Woodland,Tree,Hardwood,602,"Aspen Forest, Woodland, and Parkland",SAF 217: Aspen,Tree-dominated,Open tree canopy,Deciduous open tree canopy,192,255,138,0.75294100000,1.00000000000,0.54117600000
7018,5166.00000000000,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,7018,2018,Tr East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,Tree,Conifer,643,Douglas-fir-Grand Fir-White Fir Forest and Woodland,SAF 213: Grand Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,96,255,71,0.37647100000,1.00000000000,0.27843100000
7035,355.00000000000,North Pacific Dry Douglas-fir-(Madrone) Forest and Woodland,7035,2035,Tr North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,Tree,Conifer,614,Douglas-fir Forest and Woodland,SAF 229: Pacific Douglas-Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,130,0,0.00000000000,0.50980400000,0.00000000000
7036,5891.00000000000,North Pacific Seasonal Sitka Spruce Forest,7036,2036,Tr North Pacific Hypermaritime Seasonal Sitka Spruce Forest,Tree,Conifer,638,Sitka Spruce Forest,SAF 223: Sitka Spruce,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,117,0,0.00000000000,0.45882400000,0.00000000000
7037,10017.00000000000,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,7037,2037,Tr North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Tree,Conifer,615,Douglas-fir-Western Hemlock Forest and Woodland,SAF 230: Douglas-Fir-Western Hemlock,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,105,0,0.00000000000,0.41176500000,0.00000000000
7038,659.00000000000,North Pacific Maritime Mesic Subalpine Parkland,7038,2038,Tr North Pacific Maritime Mesic Subalpine Parkland,Tree,Conifer,627,Mountain Hemlock Forest and Woodland,SAF 205: Mountain Hemlock,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0,92,0,0.00000000000,0.36078400000,0.00000000000
7039,6520.00000000000,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,7039,2039,Tr North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Tree,Conifer,615,Douglas-fir-Western Hemlock Forest and Woodland,SAF 230: Douglas-Fir-Western Hemlock,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0,105,0,0.00000000000,0.41176500000,0.00000000000
